_word,_opposite
above,below
absolute,relative
accept,reject
active,quiet
actual,potential
aft,fore
aged,young
ahead,back
all,none
angular,rounded
answer,question
anti,pro
automatic,manual
away,home
back,front
bad,good
bare,covered
begin,end
big,little
big,small
birth,death
black,white
blur,focus
bottom,top
bound,free
boy,girl
break,fix
buy,sell
change,stay
child,parent
clean,dirty
close,open
closed,open
closing,opening
cold,hot
come,go
complex,simple
con,pro
contract,expand
cool,hot
dark,light
daughter,son
day,night
die,live
dead,living
decode,encode
defendant,plaintiff
defined,undefined
dependent,independent
different,same
difficult,easy
disable,enable
double,single
down,up
download,upload
early,late
east,west
empty,fill
empty,full
end,begin
enter,exit
even,odd
ever,never
evil,good
exclude,include
export,import
external,internal
fail,pass
failure,success
fall,rise
false,true
far,near
fast,slow
fat,thin
father,mother
female,male
few,many
finish,start
fire,hire
first,last
following,leading
foreign,native
forward,back
found,lost
full,empty
past,present
gain,loss
gain,reduce
general,particular
general,specific
generally,specifically
give,take
hard,soft
heavy,light
here,there
hide,show
high,low
hit,miss
horizontal,vertical
ill,well
inner,outer
inside,outside
international,national
invalid,valid
known,unknown
large,small
least,most
left,right
less,more
let,prevent
sit,stand
liquid,solid
little,much
local,national
lock,unlock
long,short
lost,saved
lost,won
lower,raise
major,minor
man,woman
maximum,minimum
mental,physical
minus,plus
move,stay
moving,still
multiple,single
negative,positive
new,old
no,yes
north,south
off,on
old,young
open,shut
different,same
particular,universal
past,future
peace,war
poor,rich
prefix,suffix
primary,secondary
private,public
pull,push
right,wrong
rough,smooth
round,square
signed,unsigned
stable,unstable
start,stop
strong,weak
thick,thin

